policy_number,producer_id,office,lob,expected_commission,effective_date
POL-000001,PRD-012,OFF-01,Benefits,298.24,2025-07-04
POL-000002,PRD-002,OFF-02,Benefits,119.33,2025-06-14
POL-000003,PRD-018,OFF-03,WC,2191.42,2025-04-02
POL-000004,PRD-006,OFF-02,Benefits,2034.45,2025-04-21
POL-000005,PRD-022,OFF-07,WC,98.65,2025-04-17
POL-000006,PRD-008,OFF-02,WC,1422.60,2025-06-04
POL-000007,PRD-017,OFF-07,Benefits,1619.62,2025-07-31
POL-000008,PRD-019,OFF-06,WC,218.70,2025-05-17
POL-000009,PRD-009,OFF-08,P&C,1047.73,2025-05-13
POL-000010,PRD-022,OFF-06,P&C,4666.74,2025-02-25
POL-000011,PRD-005,OFF-04,Cyber,166.04,2025-10-28
POL-000012,PRD-014,OFF-05,Cyber,1590.40,2025-12-12
POL-000013,PRD-008,OFF-01,Cyber,164.15,2025-09-26
POL-000014,PRD-020,OFF-06,Benefits,57.79,2025-09-10
POL-000015,PRD-013,OFF-07,P&C,1760.57,2025-02-21
POL-000016,PRD-004,OFF-06,P&C,159.56,2025-12-22
POL-000017,PRD-001,OFF-02,Benefits,2867.20,2025-04-07
POL-000018,PRD-016,OFF-02,P&C,677.27,2025-11-07
POL-000019,PRD-011,OFF-05,Cyber,532.25,2025-05-22
POL-000020,PRD-017,OFF-05,P&C,3663.96,2026-01-11
POL-000021,PRD-017,OFF-06,Benefits,732.95,2025-07-19
POL-000022,PRD-016,OFF-06,P&C,1503.19,2025-09-22
POL-000023,PRD-015,OFF-06,WC,769.00,2025-05-26
POL-000024,PRD-020,OFF-01,Cyber,1205.88,2025-12-01
POL-000025,PRD-006,OFF-07,WC,4119.05,2025-02-18
POL-000026,PRD-006,OFF-03,P&C,1033.09,2025-05-30
POL-000027,PRD-022,OFF-06,Benefits,754.31,2025-05-29
POL-000028,PRD-004,OFF-03,Cyber,161.15,2025-11-16
POL-000029,PRD-011,OFF-05,Cyber,733.65,2026-01-08
POL-000030,PRD-017,OFF-03,Benefits,3117.45,2025-07-25
POL-000031,PRD-006,OFF-03,Cyber,2916.33,2026-01-13
POL-000032,PRD-016,OFF-02,P&C,1122.30,2025-04-13
POL-000033,PRD-001,OFF-02,Cyber,2548.62,2025-09-03
POL-000034,PRD-017,OFF-08,Benefits,2140.85,2025-05-09
POL-000035,PRD-015,OFF-06,P&C,1362.51,2025-04-11
POL-000036,PRD-023,OFF-06,Benefits,3055.12,2025-12-16
POL-000037,PRD-006,OFF-04,Benefits,1068.72,2025-05-28
POL-000038,PRD-024,OFF-06,P&C,1121.45,2025-06-30
POL-000039,PRD-020,OFF-05,P&C,1932.25,2025-06-02
POL-000040,PRD-014,OFF-05,Cyber,326.72,2025-11-30
POL-000041,PRD-002,OFF-03,Cyber,1242.53,2025-05-04
POL-000042,PRD-008,OFF-02,WC,224.09,2026-01-14
POL-000043,PRD-020,OFF-03,P&C,2863.78,2026-01-17
POL-000044,PRD-021,OFF-05,Benefits,496.82,2025-11-27
POL-000045,PRD-001,OFF-01,Benefits,489.38,2025-05-11
POL-000046,PRD-022,OFF-08,Cyber,564.94,2025-09-19
POL-000047,PRD-024,OFF-03,Cyber,2498.25,2025-02-04
POL-000048,PRD-014,OFF-03,P&C,370.95,2025-11-17
POL-000049,PRD-010,OFF-01,Cyber,3588.82,2025-05-08
POL-000050,PRD-002,OFF-05,Benefits,37.50,2025-09-07
POL-000051,PRD-021,OFF-04,Benefits,1227.77,2026-01-22
POL-000052,PRD-002,OFF-07,P&C,1350.82,2025-12-07
POL-000053,PRD-022,OFF-07,WC,526.32,2025-03-06
POL-000054,PRD-017,OFF-07,Benefits,776.80,2025-08-30
POL-000055,PRD-003,OFF-01,P&C,3008.52,2025-04-06
POL-000056,PRD-001,OFF-04,Cyber,2945.78,2025-11-30
POL-000057,PRD-003,OFF-02,Cyber,2455.01,2025-06-03
POL-000058,PRD-021,OFF-08,Cyber,1411.19,2025-09-09
POL-000059,PRD-021,OFF-04,P&C,361.56,2025-05-22
POL-000060,PRD-016,OFF-01,Cyber,1605.75,2025-08-06
POL-000061,PRD-010,OFF-08,Cyber,1572.09,2025-02-02
